28,"t","Cattle Death Loss: Released May 5, 2006, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
28,"t","Non-Lethal Methods Used to Prevent Losses of Cattle and Calves to Predators,"
28,"t","by State and United States, 2005 1/ 2/"
28,"h","","","","","",""
28,"h","","Guard","Exclusion","","Night","Frequent"
28,"h","State","Animals","Fencing","Herding","Penning","Checks"
28,"h","","","","","",""
28,"u","","Percent","Percent","Percent","Percent","Percent"
28,"d","AL",48.8,55.5,4.4,0.2,9.6
28,"d","AZ",35.5,53.2,14.3,22.9,38.2
28,"d","AR",37.7,37.8,2.2,,24.0
28,"d","CA",20.1,66.3,0.9,5.1,8.2
28,"d","CO",16.5,27.0,7.6,9.6,38.9
28,"d","CT",12.7,27.0,4.8,69.8,52.3
28,"d","DE",,,,,
28,"d","FL",51.1,23.1,5.2,0.1,26.0
28,"d","GA",42.3,57.7,2.1,3.6,12.0
28,"d","HI",1.7,84.1,4.5,,10.7
28,"d","ID",16.9,14.8,1.7,1.4,60.9
28,"d","IL",40.1,55.2,5.0,11.9,26.1
28,"d","IN",23.7,17.1,2.3,19.6,47.2
28,"d","IA",15.4,15.9,,3.2,64.0
28,"d","KS",7.2,45.9,2.7,,13.8
28,"d","KY",33.1,49.1,2.8,3.9,7.8
28,"d","LA",25.2,52.3,10.8,1.8,13.5
28,"d","ME",,77.8,,20.7,0.8
28,"d","MD",,,,,
28,"d","MA",25.2,63.3,,30.3,
28,"d","MI",70.8,29.4,6.4,0.8,12.6
28,"d","MN",61.9,40.2,2.5,6.3,20.2
28,"d","MS",30.0,25.0,,0.5,3.1
28,"d","MO",57.4,21.9,5.4,1.1,15.5
28,"d","MT",21.8,21.1,9.6,9.9,31.4
28,"d","NE",8.5,42.7,7.5,2.4,47.9
28,"d","NV",,1.6,,26.1,56.9
28,"d","NH",0.3,2.4,,97.1,
28,"d","NJ",40.3,70.2,15.6,43.6,23.5
28,"d","NM",8.6,29.5,5.3,13.9,37.0
28,"d","NY",,12.2,77.0,8.2,70.5
28,"d","NC",22.3,46.7,8.7,8.1,36.3
28,"d","ND",34.5,19.7,0.3,6.0,29.0
28,"d","OH",22.9,45.9,0.3,7.6,12.3
28,"d","OK",49.2,32.9,6.8,0.2,23.3
28,"d","OR",26.2,32.0,1.4,5.9,25.5
28,"d","PA",46.0,40.5,9.0,17.9,28.5
28,"d","RI",,,,,
28,"d","SC",70.0,24.2,0.4,,8.1
28,"d","SD",21.9,4.6,2.7,33.6,14.7
28,"d","TN",32.9,19.2,6.5,3.6,28.8
28,"d","TX",62.9,17.3,0.9,10.2,15.2
28,"d","UT",32.3,49.3,47.9,13.0,21.8
28,"d","VT",64.8,33.0,,,
28,"d","VA",29.6,48.9,0.1,1.1,18.7
28,"d","WA",43.8,48.1,,0.2,43.1
28,"d","WV",38.0,30.4,1.9,3.5,52.5
28,"d","WI",54.3,28.1,,9.5,10.1
28,"d","WY",20.9,20.5,10.0,21.6,48.0
28,"d","",,,,,
28,"d","US",38.0,34.0,3.8,9.7,21.8
28,"c",""
28,"f","1/  Missing data are not published to avoid disclosure of individual operations."
28,"f","2/  Use of multiple non-lethal methods may result in percentages summing to greater than 100."
