2,"t","Cattle Death Loss: Released May 12, 2011, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Number of Head of Cattle and Calves Lost by Cause – States and United States: 2010"
2,"h","","","","","","",""
2,"h","State","All causes","All causes","Predators","Predators","Non-predators","Non-predators"
2,"h","","","","","","",""
2,"h","","Cattle","Calves","Cattle","Calves","Cattle","Calves"
2,"h","","","","","","",""
2,"u","","(head)","(head)","(head)","(head)","(head)","(head)"
2,"d","Alabama",23000,30000,1000,5200,22000,24800
2,"d","Arizona",20000,18000,2200,2100,17800,15900
2,"d","Arkansas",35000,40000,1900,4800,33100,35200
2,"d","California",100000,135000,1400,8200,98600,126800
2,"d","Colorado",55000,55000,800,4300,54200,50700
2,"d","Connecticut",1100,1200,-,100,1100,1100
2,"d","Delaware",400,500,-,-,400,500
2,"d","Florida",23000,31000,900,5400,22100,25600
2,"d","Georgia",19000,23000,1300,3500,17700,19500
2,"d","Hawaii",5000,4000,100,500,4900,3500
2,"d","",,,,,,
2,"d","Idaho",42000,51000,1900,4200,40100,46800
2,"d","Illinois",18000,30000,300,1500,17700,28500
2,"d","Indiana",13000,22000,100,800,12900,21200
2,"d","Iowa",70000,95000,200,1400,69800,93600
2,"d","Kansas",125000,80000,800,3900,124200,76100
2,"d","Kentucky",44000,68000,1200,9500,42800,58500
2,"d","Louisiana",18000,19000,1800,4600,16200,14400
2,"d","Maine",1900,2700,-,300,1900,2400
2,"d","Maryland",3000,5000,100,100,2900,4900
2,"d","Massachusetts",1000,1000,-,-,1000,1000
2,"d","",,,,,,
2,"d","Michigan",22000,43000,200,600,21800,42400
2,"d","Minnesota",46000,88000,400,2100,45600,85900
2,"d","Mississippi",21000,27000,800,2800,20200,24200
2,"d","Missouri",65000,125000,700,6500,64300,118500
2,"d","Montana",23000,57000,1000,4200,22000,52800
2,"d","Nebraska",110000,85000,200,2200,109800,82800
2,"d","Nevada",5000,12000,500,2300,4500,9700
2,"d","New Hampshire",800,800,-,-,800,800
2,"d","New Jersey",500,700,-,100,500,600
2,"d","New Mexico",22000,35000,3300,6600,18700,28400
2,"d","",,,,,,
2,"d","New York",32000,43000,300,1400,31700,41600
2,"d","North Carolina",13000,20000,1400,4000,11600,16000
2,"d","North Dakota",15000,40000,300,2500,14700,37500
2,"d","Ohio",21000,29000,500,2300,20500,26700
2,"d","Oklahoma",90000,130000,3400,10500,86600,119500
2,"d","Oregon",20000,35000,600,3200,19400,31800
2,"d","Pennsylvania",35000,43000,100,600,34900,42400
2,"d","Rhode Island",100,200,-,-,100,200
2,"d","South Carolina",7000,8000,300,1000,6700,7000
2,"d","South Dakota",68000,90000,300,2600,67700,87400
2,"d","",,,,,,
2,"d","Tennessee",34000,56000,1300,7800,32700,48200
2,"d","Texas",310000,290000,6000,40000,304000,250000
2,"d","Utah",13000,26000,300,2300,12700,23700
2,"d","Vermont",6000,8000,100,200,5900,7800
2,"d","Virginia",26000,52000,600,4800,25400,47200
2,"d","Washington",20000,19000,200,1500,19800,17500
2,"d","West Virginia",5000,15000,100,1000,4900,14000
2,"d","Wisconsin",75000,140000,500,3100,74500,136900
2,"d","Wyoming",11000,30000,400,3500,10600,26500
2,"d","",,,,,,
2,"d","United States 1/",1733800,2259100,39800,180100,1694000,2079000
2,"c",""
2,"f","-  Represents zero."
2,"f","1/  Excludes Alaska."
