3,"t","Cattle Death Loss: Released May 12, 2011, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Total Value per Head and Total Value of Cattle and Calf Losses by Cause – States and United States: 2010"
3,"t","[Totals may not add due to rounding]"
3,"h","","","","","","",""
3,"h","State","Total value","Total value","Total value","Total value","Total value","Total value"
3,"h","","per head","per head","predator losses","predator losses","non-predator losses","non-predator losses"
3,"h","","","","","","",""
3,"h","","Cattle 1/","Calves 2/","Cattle","Calves","Cattle","Calves"
3,"h","","","","","","",""
3,"u","","(dollars)","(dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
3,"d","Alabama",852,324,852,1685,18744,8035
3,"d","Arizona",790,354,1738,743,14062,5629
3,"d","Arkansas",807,339,1533,1627,26712,11933
3,"d","California",923,348,1292,2854,91008,44126
3,"d","Colorado",1037,372,830,1600,56205,18860
3,"d","Connecticut",1095,300,-,30,1205,330
3,"d","Delaware",843,312,-,-,337,156
3,"d","Florida",766,333,689,1798,16929,8525
3,"d","Georgia",793,330,1031,1155,14036,6435
3,"d","Hawaii",520,273,52,137,2548,956
3,"d","",,,,,,
3,"d","Idaho",967,354,1837,1487,38777,16567
3,"d","Illinois",1001,336,300,504,17718,9576
3,"d","Indiana",955,321,96,257,12320,6805
3,"d","Iowa",1097,360,219,504,76571,33696
3,"d","Kansas",1017,378,814,1474,126311,28766
3,"d","Kentucky",871,330,1045,3135,37279,19305
3,"d","Louisiana",871,318,1568,1463,14110,4579
3,"d","Maine",879,300,-,90,1670,720
3,"d","Maryland",911,312,91,31,2642,1529
3,"d","Massachusetts",824,300,-,-,824,300
3,"d","",,,,,,
3,"d","Michigan",942,278,188,167,20536,11787
3,"d","Minnesota",987,375,395,788,45007,32213
3,"d","Mississippi",821,315,657,882,16584,7623
3,"d","Missouri",997,357,698,2321,64107,42305
3,"d","Montana",1058,384,1058,1613,23276,20275
3,"d","Nebraska",1128,393,226,865,123854,32540
3,"d","Nevada",969,369,485,849,4361,3579
3,"d","New Hampshire",973,300,-,-,778,240
3,"d","New Jersey",918,249,-,25,459,149
3,"d","New Mexico",894,354,2950,2336,16718,10054
3,"d","",,,,,,
3,"d","New York",911,276,273,386,28879,11482
3,"d","North Carolina",838,315,1173,1260,9721,5040
3,"d","North Dakota",1135,366,341,915,16685,13725
3,"d","Ohio",908,321,454,738,18614,8571
3,"d","Oklahoma",914,360,3108,3780,79152,43020
3,"d","Oregon",972,345,583,1104,18857,10971
3,"d","Pennsylvania",996,300,100,180,34760,12720
3,"d","Rhode Island",951,300,-,-,95,60
3,"d","South Carolina",843,315,253,315,5648,2205
3,"d","South Dakota",1133,381,340,991,76704,33299
3,"d","",,,,,,
3,"d","Tennessee",820,324,1066,2527,26814,15617
3,"d","Texas",889,354,5334,14160,270256,88500
3,"d","Utah",984,360,295,828,12497,8532
3,"d","Vermont",842,300,84,60,4968,2340
3,"d","Virginia",801,330,481,1584,20345,15576
3,"d","Washington",949,342,190,513,18790,5985
3,"d","West Virginia",884,297,88,297,4332,4158
3,"d","Wisconsin",949,423,475,1311,70701,57909
3,"d","Wyoming",1094,396,438,1386,11596,10494
3,"d","",,,,,,
3,"d","United States 3/",952,354,35720,62755,1615102,737797
3,"c",""
3,"f","-  Represents zero."
3,"f","1/  Cattle value per head is based on a two-year straight average of the value of beef cows reported in the January 1 Cattle survey from 2010 and 2011."
3,"f","2/  Calf value per head is based on the market year average calf price. An average weight of 300 pounds was used in all States."
3,"f","3/  Excludes Alaska. United States value per head for cattle and calves derived."
