8,"t","Cattle Death Loss: Released May 12, 2011, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Percent of Total Calf Predator Losses by Predator – States and United States: 2010"
8,"t","[Totals may not add due to rounding]"
8,"h","","","","","","","","",""
8,"h","","","Mountain lions","","","","","Other","Unknown"
8,"h","State","Coyotes","and bobcats 1/","Dogs","Vultures","Wolves","Bears","predators","predators"
8,"h","","","","","","","","",""
8,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
8,"d","Alabama",48.4,1.5,26.0,9.9,-,-,6.7,7.5
8,"d","Arizona",38.3,31.9,5.7,-,12.7,3.4,2.5,5.5
8,"d","Arkansas",38.7,3.2,30.6,13.8,-,-,7.1,6.6
8,"d","California",75.7,11.7,4.3,-,-,0.1,2.3,5.9
8,"d","Colorado",82.2,6.3,1.0,-,-,7.8,0.3,2.4
8,"d","Connecticut",100.0,-,-,-,-,-,-,-
8,"d","Delaware",-,-,-,-,-,-,-,-
8,"d","Florida",77.4,-,0.5,8.7,-,-,6.2,7.2
8,"d","Georgia",53.7,-,15.8,12.5,-,-,13.3,4.7
8,"d","Hawaii",-,-,89.9,-,-,-,7.5,2.6
8,"d","",,,,,,,,
8,"d","Idaho",26.9,4.3,3.3,0.3,47.4,0.7,3.0,14.1
8,"d","Illinois",87.9,7.1,1.0,0.3,-,-,1.6,2.1
8,"d","Indiana",71.8,-,26.8,1.4,-,-,-,-
8,"d","Iowa",66.9,1.0,13.9,-,-,-,8.4,9.8
8,"d","Kansas",71.2,7.9,13.8,-,-,-,-,7.1
8,"d","Kentucky",79.0,0.4,8.1,2.5,0.4,0.4,1.3,7.9
8,"d","Louisiana",81.7,-,6.1,6.9,-,-,3.0,2.3
8,"d","Maine",14.0,-,-,-,-,-,86.0,-
8,"d","Maryland",56.6,-,6.6,-,-,-,-,36.8
8,"d","Massachusetts",-,-,-,-,-,-,-,-
8,"d","",,,,,,,,
8,"d","Michigan",55.5,-,5.6,-,-,-,-,38.9
8,"d","Minnesota",35.3,1.9,1.4,-,37.7,-,5.2,18.5
8,"d","Mississippi",65.9,1.2,16.0,3.8,-,-,12.1,1.0
8,"d","Missouri",29.5,14.4,33.2,3.8,-,2.2,1.5,15.4
8,"d","Montana",46.9,5.2,-,-,20.3,2.3,1.6,23.7
8,"d","Nebraska",59.4,37.5,-,-,-,-,-,3.1
8,"d","Nevada",61.8,2.4,1.7,-,-,0.1,3.6,30.4
8,"d","New Hampshire",-,-,-,-,-,-,-,-
8,"d","New Jersey",59.4,-,-,32.8,-,7.8,-,-
8,"d","New Mexico",65.2,16.4,6.3,-,-,1.3,3.6,7.2
8,"d","",,,,,,,,
8,"d","New York",88.5,1.8,3.6,-,-,-,-,6.1
8,"d","North Carolina",63.7,-,12.1,10.4,-,-,1.8,12.0
8,"d","North Dakota",86.2,3.7,1.7,-,0.7,-,2.4,5.3
8,"d","Ohio",90.0,-,1.4,1.7,-,-,6.9,-
8,"d","Oklahoma",52.6,7.1,13.8,4.4,1.5,1.5,9.3,9.8
8,"d","Oregon",70.0,8.7,0.5,-,7.7,1.0,8.7,3.4
8,"d","Pennsylvania",66.7,-,1.9,1.5,-,-,-,29.9
8,"d","Rhode Island",-,-,-,-,-,-,-,-
8,"d","South Carolina",80.2,0.5,5.0,7.0,-,-,3.8,3.5
8,"d","South Dakota",95.5,3.5,-,-,-,-,1.0,-
8,"d","",,,,,,,,
8,"d","Tennessee",62.5,0.3,16.0,8.8,-,-,0.9,11.5
8,"d","Texas",40.1,15.4,9.3,14.0,0.4,-,7.9,12.9
8,"d","Utah",58.8,6.2,4.8,-,1.8,15.4,9.8,3.2
8,"d","Vermont",95.2,-,-,-,-,-,-,4.8
8,"d","Virginia",65.0,-,7.5,12.9,-,5.4,0.8,8.4
8,"d","Washington",77.3,3.4,-,-,2.4,3.3,-,13.6
8,"d","West Virginia",80.9,-,-,-,-,8.8,-,10.3
8,"d","Wisconsin",42.0,3.2,-,0.1,47.5,0.9,-,6.3
8,"d","Wyoming",46.5,11.5,1.7,-,14.6,7.7,3.3,14.7
8,"d","",,,,,,,,
8,"d","United States 2/",57.2,7.8,9.6,6.1,3.7,1.1,4.8,9.7
8,"c",""
8,"f","-  Represents zero."
8,"f","1/  Includes cougars, pumas, and lynx."
8,"f","2/  Excludes Alaska."
