9,"t","Cattle Death Loss: Released May 12, 2011, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
9,"t","Percent of Total Cattle Non-Predator Losses by Type – States and United States: 2010"
9,"t","[Totals may not add due to rounding]"
9,"h","","","","","","",""
9,"h","","Digestive","Respiratory","Metabolic","","Lameness","Other"
9,"h","State","problems","problems","problems","Mastitis","or injury","diseases"
9,"h","","","","","","",""
9,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
9,"d","Alabama",4.9,5.3,2.6,0.7,3.9,5.9
9,"d","Arizona",8.6,10.9,0.5,3.1,5.0,1.1
9,"d","Arkansas",8.1,13.6,1.2,1.1,1.2,11.0
9,"d","California",7.9,27.3,3.9,10.6,11.0,5.6
9,"d","Colorado",18.2,39.7,1.6,2.0,5.3,7.1
9,"d","Connecticut",13.9,11.1,8.5,23.0,13.2,5.5
9,"d","Delaware",8.9,2.7,1.5,21.6,6.2,6.2
9,"d","Florida",5.9,10.8,3.8,5.3,6.8,2.3
9,"d","Georgia",4.6,12.5,3.1,2.5,4.6,7.0
9,"d","Hawaii",1.0,0.6,0.3,-,0.6,2.2
9,"d","",,,,,,
9,"d","Idaho",13.4,25.6,5.6,7.6,9.9,8.1
9,"d","Illinois",14.0,25.6,4.5,3.2,10.5,3.9
9,"d","Indiana",10.9,20.9,6.7,3.8,8.9,2.4
9,"d","Iowa",10.0,45.5,1.5,2.3,6.8,3.8
9,"d","Kansas",5.2,63.8,0.3,0.7,1.8,2.9
9,"d","Kentucky",9.9,35.7,1.0,1.1,3.3,1.9
9,"d","Louisiana",4.1,11.6,0.2,1.1,4.8,5.6
9,"d","Maine",5.6,30.5,16.0,6.5,20.9,2.7
9,"d","Maryland",9.7,6.5,6.4,7.5,9.1,5.3
9,"d","Massachusetts",9.6,8.1,13.0,16.8,6.9,0.2
9,"d","",,,,,,
9,"d","Michigan",11.4,27.1,7.6,9.2,9.1,6.0
9,"d","Minnesota",13.2,24.2,5.1,6.8,8.4,4.6
9,"d","Mississippi",5.1,14.3,1.7,0.7,3.9,3.3
9,"d","Missouri",4.5,11.5,1.5,1.0,5.0,8.3
9,"d","Montana",6.6,16.9,0.7,0.5,5.1,4.7
9,"d","Nebraska",9.3,39.2,0.4,0.3,4.2,2.0
9,"d","Nevada",8.0,11.0,4.3,3.7,8.1,6.0
9,"d","New Hampshire",8.5,6.2,9.0,7.5,11.6,9.9
9,"d","New Jersey",2.7,7.1,8.3,0.8,7.9,2.7
9,"d","New Mexico",19.8,18.2,2.9,17.7,2.7,7.2
9,"d","",,,,,,
9,"d","New York",11.3,11.5,8.4,13.3,17.7,4.5
9,"d","North Carolina",4.6,11.3,5.6,3.0,6.1,4.3
9,"d","North Dakota",9.7,24.7,0.7,0.2,3.0,4.2
9,"d","Ohio",13.0,25.7,5.7,6.3,12.7,3.9
9,"d","Oklahoma",4.7,28.3,0.6,0.5,3.9,6.8
9,"d","Oregon",9.9,9.9,4.5,5.0,12.4,3.6
9,"d","Pennsylvania",10.1,14.3,6.1,16.8,13.2,9.8
9,"d","Rhode Island",36.6,-,3.6,3.6,13.4,5.3
9,"d","South Carolina",19.8,6.5,1.7,4.2,3.2,4.0
9,"d","South Dakota",12.6,31.1,2.7,1.9,5.4,5.2
9,"d","",,,,,,
9,"d","Tennessee",5.1,11.6,1.6,1.3,5.1,5.2
9,"d","Texas",7.3,22.1,1.2,1.2,2.8,4.8
9,"d","Utah",12.6,19.3,5.9,3.8,6.5,2.8
9,"d","Vermont",14.0,10.0,6.6,16.7,12.8,9.5
9,"d","Virginia",4.3,12.4,2.5,2.8,7.8,6.3
9,"d","Washington",10.7,25.5,3.9,8.1,8.6,6.7
9,"d","West Virginia",7.3,9.2,2.1,1.3,4.6,5.6
9,"d","Wisconsin",10.8,17.3,8.2,9.4,17.5,5.0
9,"d","Wyoming",5.2,11.7,1.6,1.4,3.0,5.5
9,"d","",,,,,,
9,"d","United States 1/",8.7,26.5,2.6,3.7,6.1,5.0
9,"c",""
9,"c","See footnote(s) at end of table.","--continued"
