10,"t","Cattle Death Loss: Released May 12, 2011, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
10,"t","Percent of Total Cattle Non-Predator Losses by Type – States and United States: 2010 (continued)"
10,"t","[Totals may not add due to rounding]"
10,"h","","","","","","",""
10,"h","","Weather","Calving","","","Other","Unknown"
10,"h","State","related","problems","Poisoning","Theft","non-predator","non-predator"
10,"h","","","","","","",""
10,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
10,"d","Alabama",16.4,16.8,3.1,1.3,25.1,14.0
10,"d","Arizona",8.5,6.7,1.9,0.1,6.1,47.5
10,"d","Arkansas",16.3,12.1,6.3,0.1,19.3,9.7
10,"d","California",1.5,10.2,-,0.2,12.9,8.9
10,"d","Colorado",5.2,3.3,2.3,0.1,5.7,9.5
10,"d","Connecticut",0.7,9.7,4.3,0.6,4.9,4.6
10,"d","Delaware",-,20.1,-,-,10.8,22.0
10,"d","Florida",18.5,17.6,1.5,0.1,20.7,6.7
10,"d","Georgia",3.4,21.8,0.3,-,26.4,13.8
10,"d","Hawaii",74.4,6.5,0.1,2.5,9.8,2.0
10,"d","",,,,,,
10,"d","Idaho",3.1,9.0,2.6,0.1,9.7,5.3
10,"d","Illinois",11.4,9.4,0.9,-,12.5,4.1
10,"d","Indiana",1.8,15.1,0.5,0.9,13.5,14.6
10,"d","Iowa",8.5,7.1,0.6,-,7.2,6.7
10,"d","Kansas",13.0,3.2,0.3,0.3,4.3,4.2
10,"d","Kentucky",6.5,8.8,1.7,-,14.5,15.6
10,"d","Louisiana",17.1,15.7,4.2,-,19.9,15.7
10,"d","Maine",-,6.7,-,-,5.1,6.0
10,"d","Maryland",1.6,12.8,0.3,-,22.0,18.8
10,"d","Massachusetts",1.4,16.6,4.7,2.4,10.7,9.6
10,"d","",,,,,,
10,"d","Michigan",1.5,8.6,-,-,7.7,11.8
10,"d","Minnesota",5.3,7.7,1.2,-,14.3,9.2
10,"d","Mississippi",17.1,17.4,0.7,0.6,21.6,13.6
10,"d","Missouri",20.7,14.9,1.0,1.2,20.0,10.4
10,"d","Montana",9.7,7.1,3.6,1.1,19.7,24.3
10,"d","Nebraska",17.9,4.8,0.4,0.2,7.2,14.1
10,"d","Nevada",1.5,4.2,6.8,9.4,9.5,27.5
10,"d","New Hampshire",-,18.5,-,-,16.0,12.8
10,"d","New Jersey",21.3,9.4,-,-,39.2,0.6
10,"d","New Mexico",3.2,7.2,1.8,1.1,5.3,12.9
10,"d","",,,,,,
10,"d","New York",1.6,11.0,2.3,0.2,10.5,7.7
10,"d","North Carolina",10.9,21.3,0.5,1.0,21.0,10.4
10,"d","North Dakota",16.0,2.4,0.4,0.4,22.4,15.9
10,"d","Ohio",2.4,14.7,0.2,0.1,10.8,4.5
10,"d","Oklahoma",11.1,10.4,0.4,1.8,18.6,12.9
10,"d","Oregon",3.3,8.4,1.7,0.1,29.7,11.5
10,"d","Pennsylvania",1.3,10.1,0.3,-,9.7,8.3
10,"d","Rhode Island",-,6.3,-,-,31.2,-
10,"d","South Carolina",10.4,18.4,1.4,0.2,20.0,10.2
10,"d","South Dakota",13.1,5.9,3.1,0.1,13.3,5.6
10,"d","",,,,,,
10,"d","Tennessee",7.9,16.8,1.9,0.7,28.1,14.7
10,"d","Texas",10.8,12.2,1.4,0.2,17.4,18.6
10,"d","Utah",6.2,4.8,3.7,1.4,13.6,19.4
10,"d","Vermont",0.5,10.8,0.9,-,7.2,11.0
10,"d","Virginia",19.4,14.3,2.5,-,17.3,10.4
10,"d","Washington",3.0,6.8,-,0.1,13.8,12.8
10,"d","West Virginia",28.2,18.4,2.7,2.1,9.6,8.9
10,"d","Wisconsin",3.1,10.9,1.3,-,8.8,7.7
10,"d","Wyoming",15.2,6.6,7.5,1.3,17.0,24.0
10,"d","",,,,,,
10,"d","United States 1/",9.9,9.8,1.4,0.4,13.8,12.1
10,"c",""
10,"f","-  Represents zero."
10,"f","1/  Excludes Alaska."
