11,"t","Cattle Death Loss: Released May 12, 2011, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
11,"t","Percent of Total Calf Non-Predator Losses by Type – States and United States: 2010"
11,"t","[Totals may not add due to rounding]"
11,"h","","","","","",""
11,"h","","Digestive","Respiratory","Metabolic","Lameness","Other"
11,"h","State","problems","problems","problems","or injury","diseases"
11,"h","","","","","",""
11,"u","","(percent)","(percent)","(percent)","(percent)","(percent)"
11,"d","Alabama",5.0,12.7,2.5,2.8,4.7
11,"d","Arizona",15.0,25.2,-,1.1,6.2
11,"d","Arkansas",4.3,24.7,0.1,1.3,4.9
11,"d","California",24.1,46.6,2.1,1.6,5.8
11,"d","Colorado",18.4,30.8,0.2,1.2,2.6
11,"d","Connecticut",38.8,20.5,0.4,1.1,6.0
11,"d","Delaware",21.4,18.9,2.4,-,16.0
11,"d","Florida",12.4,14.1,2.0,2.7,14.4
11,"d","Georgia",8.1,16.4,0.5,1.0,2.6
11,"d","Hawaii",5.6,4.7,-,2.6,4.3
11,"d","",,,,,
11,"d","Idaho",24.9,33.9,1.8,3.0,5.5
11,"d","Illinois",18.1,25.8,0.3,2.8,5.2
11,"d","Indiana",25.6,29.5,0.7,0.5,1.5
11,"d","Iowa",21.0,30.7,0.5,1.3,1.7
11,"d","Kansas",8.3,35.4,0.3,1.5,2.2
11,"d","Kentucky",14.8,21.0,0.1,2.1,5.9
11,"d","Louisiana",4.9,22.5,0.1,0.4,3.7
11,"d","Maine",24.8,30.5,4.4,6.5,2.0
11,"d","Maryland",14.6,13.4,0.6,3.8,6.9
11,"d","Massachusetts",21.8,15.0,-,10.0,7.1
11,"d","",,,,,
11,"d","Michigan",30.1,41.7,0.1,1.4,2.9
11,"d","Minnesota",27.7,31.6,1.3,2.6,2.8
11,"d","Mississippi",5.7,24.7,0.5,2.8,1.5
11,"d","Missouri",10.1,24.8,0.2,1.4,2.1
11,"d","Montana",14.3,13.6,0.1,0.7,1.2
11,"d","Nebraska",15.9,22.6,0.5,0.9,2.2
11,"d","Nevada",12.1,21.6,-,0.7,0.9
11,"d","New Hampshire",35.9,34.6,3.8,0.7,0.4
11,"d","New Jersey",6.0,10.2,-,-,5.1
11,"d","New Mexico",15.1,33.1,1.3,2.9,3.8
11,"d","",,,,,
11,"d","New York",32.9,31.8,2.4,3.2,7.6
11,"d","North Carolina",9.4,18.7,2.6,2.8,6.7
11,"d","North Dakota",14.5,28.6,0.4,0.8,3.0
11,"d","Ohio",27.2,28.5,0.5,3.0,4.6
11,"d","Oklahoma",4.3,35.1,0.8,2.0,6.4
11,"d","Oregon",18.4,31.2,1.1,1.6,3.8
11,"d","Pennsylvania",25.3,39.0,0.4,1.3,4.3
11,"d","Rhode Island",39.0,22.0,-,-,-
11,"d","South Carolina",24.4,10.7,1.5,0.5,2.8
11,"d","South Dakota",12.8,29.2,0.3,0.4,0.9
11,"d","",,,,,
11,"d","Tennessee",14.4,21.0,0.6,2.6,6.6
11,"d","Texas",11.8,28.2,0.5,2.2,9.2
11,"d","Utah",23.4,25.7,0.5,0.9,2.1
11,"d","Vermont",38.6,28.4,1.6,1.9,2.3
11,"d","Virginia",9.9,12.7,0.2,1.8,3.8
11,"d","Washington",19.4,31.8,0.8,2.8,4.9
11,"d","West Virginia",8.0,12.7,-,2.6,4.2
11,"d","Wisconsin",38.1,37.5,1.3,2.0,4.3
11,"d","Wyoming",9.3,18.3,0.1,0.4,3.9
11,"d","",,,,,
11,"d","United States 1/",17.2,29.1,0.8,1.8,4.5
11,"c",""
11,"c","See footnote(s) at end of table.","--continued"
