12,"t","Cattle Death Loss: Released May 12, 2011, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
12,"t","Percent of Total Calf Non-Predator Losses by Type – States and United States: 2010 (continued)"
12,"t","[Totals may not add due to rounding]"
12,"h","","","","","","",""
12,"h","","Weather","Calving","","","Other","Unknown"
12,"h","State","related","problems","Poisoning","Theft","non-predator","non-predator"
12,"h","","","","","","",""
12,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
12,"d","Alabama",20.5,22.0,0.2,0.7,7.1,21.8
12,"d","Arizona",9.3,12.1,0.2,3.1,3.6,24.2
12,"d","Arkansas",16.6,20.1,8.5,-,5.9,13.6
12,"d","California",3.6,7.0,0.1,0.1,1.9,7.1
12,"d","Colorado",15.8,17.1,2.4,0.2,4.1,7.2
12,"d","Connecticut",1.6,7.3,-,-,4.2,20.1
12,"d","Delaware",-,35.4,-,-,-,5.9
12,"d","Florida",11.0,29.2,0.4,0.1,0.3,13.4
12,"d","Georgia",7.0,35.6,2.6,-,3.7,22.5
12,"d","Hawaii",66.5,5.9,-,1.2,4.3,4.9
12,"d","",,,,,,
12,"d","Idaho",5.4,20.5,0.1,0.2,1.0,3.7
12,"d","Illinois",13.7,20.5,-,-,8.6,5.0
12,"d","Indiana",7.3,13.4,0.1,-,6.1,15.3
12,"d","Iowa",12.5,19.2,0.6,-,4.1,8.4
12,"d","Kansas",24.6,15.3,0.1,0.5,2.4,9.4
12,"d","Kentucky",19.4,13.5,0.7,0.6,3.5,18.4
12,"d","Louisiana",23.4,22.8,3.1,2.0,5.4,11.7
12,"d","Maine",11.4,10.9,-,-,1.3,8.2
12,"d","Maryland",32.8,9.4,-,-,5.9,12.6
12,"d","Massachusetts",10.3,12.5,-,-,14.7,8.6
12,"d","",,,,,,
12,"d","Michigan",5.0,5.6,-,0.2,4.3,8.7
12,"d","Minnesota",7.6,16.4,0.9,-,1.9,7.2
12,"d","Mississippi",12.7,31.1,0.4,0.6,2.1,17.9
12,"d","Missouri",28.8,20.7,0.1,-,2.2,9.6
12,"d","Montana",27.1,22.4,1.3,2.3,1.6,15.4
12,"d","Nebraska",28.0,23.2,0.3,-,1.3,5.1
12,"d","Nevada",9.2,7.5,0.7,-,-,47.3
12,"d","New Hampshire",-,19.0,1.1,-,0.5,4.0
12,"d","New Jersey",21.6,27.2,-,-,12.5,17.4
12,"d","New Mexico",15.1,6.0,1.1,3.2,4.5,13.9
12,"d","",,,,,,
12,"d","New York",1.7,10.9,0.2,0.3,4.1,4.9
12,"d","North Carolina",17.7,16.8,0.3,0.4,3.6,21.0
12,"d","North Dakota",26.3,17.7,0.2,0.1,2.8,5.6
12,"d","Ohio",8.3,24.7,-,-,0.6,2.6
12,"d","Oklahoma",15.0,17.8,0.7,1.5,4.6,11.8
12,"d","Oregon",10.5,19.2,0.2,-,2.8,11.2
12,"d","Pennsylvania",2.5,12.9,0.6,-,3.6,10.1
12,"d","Rhode Island",4.9,29.2,-,-,4.9,-
12,"d","South Carolina",3.8,23.9,0.3,-,1.2,30.9
12,"d","South Dakota",36.8,15.6,0.1,0.1,0.6,3.2
12,"d","",,,,,,
12,"d","Tennessee",11.0,26.8,0.6,0.5,6.0,9.9
12,"d","Texas",10.9,11.5,0.5,0.4,3.8,21.0
12,"d","Utah",21.3,7.7,0.2,2.2,2.1,13.9
12,"d","Vermont",1.6,9.5,-,-,2.2,13.9
12,"d","Virginia",30.0,15.5,0.3,-,12.1,13.7
12,"d","Washington",3.7,17.1,0.1,-,3.2,16.2
12,"d","West Virginia",52.6,12.4,-,0.6,2.2,4.7
12,"d","Wisconsin",5.5,5.7,0.3,-,1.6,3.7
12,"d","Wyoming",29.0,25.0,0.5,0.4,2.6,10.5
12,"d","",,,,,,
12,"d","United States 1/",15.4,15.8,0.6,0.4,3.3,11.1
12,"c",""
12,"f","-  Represents zero."
12,"f","1/  Excludes Alaska."
