13,"t","Cattle Death Loss: Released May 12, 2011, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
13,"t","Percent of Operations using Non-Lethal Methods to Prevent Losses of Cattle and Calves to Predators by Method– States and United States: 2010"
13,"t","[Use of multiple non-lethal methods will result in percentages summing to greater than 100]"
13,"h","","","","","",""
13,"h","","Guard","Exclusion","","Night","Fright"
13,"h","State","animals","fencing","Herding","penning","tactics"
13,"h","","","","","",""
13,"u","","(percent)","(percent)","(percent)","(percent)","(percent)"
13,"d","Alabama",53.0,32.1,1.2,1.5,1.4
13,"d","Arizona",26.8,8.5,81.8,53.4,0.1
13,"d","Arkansas",51.7,15.0,0.3,11.1,3.2
13,"d","California",29.8,74.6,1.6,0.5,1.4
13,"d","Colorado",27.5,22.6,1.7,28.5,2.7
13,"d","Connecticut",59.0,35.2,1.2,1.2,-
13,"d","Delaware",-,-,-,-,-
13,"d","Florida",37.4,14.1,2.8,2.3,0.5
13,"d","Georgia",49.2,31.9,1.9,0.6,-
13,"d","Hawaii",0.8,80.6,0.4,-,2.1
13,"d","",,,,,
13,"d","Idaho",21.8,19.6,10.9,12.7,12.8
13,"d","Illinois",39.9,42.5,2.9,20.6,2.7
13,"d","Indiana",16.4,36.8,2.3,18.0,4.8
13,"d","Iowa",46.5,22.3,-,6.6,-
13,"d","Kansas",19.1,10.3,7.1,-,8.3
13,"d","Kentucky",36.9,52.2,2.2,1.7,0.2
13,"d","Louisiana",31.0,38.5,7.9,-,2.0
13,"d","Maine",46.5,85.7,-,7.6,-
13,"d","Maryland",-,80.5,-,-,-
13,"d","Massachusetts",26.7,93.1,1.2,22.7,0.5
13,"d","",,,,,
13,"d","Michigan",38.6,23.3,-,2.8,0.8
13,"d","Minnesota",59.0,24.9,5.2,12.8,6.7
13,"d","Mississippi",72.4,17.2,-,-,-
13,"d","Missouri",35.9,31.2,6.0,4.8,-
13,"d","Montana",34.6,3.1,12.7,19.8,4.4
13,"d","Nebraska",24.5,48.1,1.7,5.1,2.7
13,"d","Nevada",58.1,-,-,-,-
13,"d","New Hampshire",4.0,59.6,5.2,13.2,-
13,"d","New Jersey",0.8,94.1,-,17.8,19.3
13,"d","New Mexico",38.0,25.3,5.7,11.5,0.1
13,"d","",,,,,
13,"d","New York",23.8,51.0,9.3,4.9,2.0
13,"d","North Carolina",64.0,36.2,0.7,0.5,0.4
13,"d","North Dakota",38.6,19.2,1.5,1.0,16.4
13,"d","Ohio",30.1,59.0,2.0,22.7,0.7
13,"d","Oklahoma",41.8,24.7,8.9,3.6,3.2
13,"d","Oregon",27.3,24.4,1.7,7.2,1.9
13,"d","Pennsylvania",6.3,78.4,5.6,5.7,2.0
13,"d","Rhode Island",10.9,94.5,5.5,13.1,-
13,"d","South Carolina",16.5,65.7,7.3,-,0.5
13,"d","South Dakota",39.9,16.9,0.6,14.6,4.5
13,"d","",,,,,
13,"d","Tennessee",33.9,33.9,4.6,4.2,0.5
13,"d","Texas",50.2,24.1,4.7,1.2,1.3
13,"d","Utah",17.9,79.2,6.9,0.5,0.4
13,"d","Vermont",37.3,82.7,4.5,4.5,-
13,"d","Virginia",36.8,17.8,10.1,6.0,5.1
13,"d","Washington",45.7,32.2,1.6,0.4,10.7
13,"d","West Virginia",47.0,47.3,15.3,9.9,0.1
13,"d","Wisconsin",27.0,41.3,5.4,22.1,5.0
13,"d","Wyoming",19.8,23.5,22.7,19.4,3.5
13,"d","",,,,,
13,"d","United States 1/",36.9,32.8,5.3,6.6,2.5
13,"c",""
13,"c","See footnote(s) at end of table.","--continued"
