14,"t","Cattle Death Loss: Released May 12, 2011, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
14,"t","Percent of Operations using Non-Lethal Methods to Prevent Losses of Cattle and Calves to Predators by Method– States and United States: 2010 (continued)"
14,"t","[Use of multiple non-lethal methods will result in percentages summing to greater than 100]"
14,"h","","","","",""
14,"h","","Livestock","","Frequent","Other"
14,"h","State","carcass removal","Culling","checks","non-lethal"
14,"h","","","","",""
14,"u","","(percent)","(percent)","(percent)","(percent)"
14,"d","Alabama",17.2,20.4,14.2,2.4
14,"d","Arizona",0.7,5.4,46.8,0.6
14,"d","Arkansas",7.8,46.6,22.5,-
14,"d","California",26.6,5.2,20.3,7.3
14,"d","Colorado",21.1,18.6,36.8,17.6
14,"d","Connecticut",1.2,-,-,5.9
14,"d","Delaware",-,-,-,100.0
14,"d","Florida",74.2,68.5,80.6,0.4
14,"d","Georgia",25.1,34.9,21.0,9.2
14,"d","Hawaii",2.1,12.8,9.9,4.5
14,"d","",,,,
14,"d","Idaho",28.8,36.3,66.4,13.4
14,"d","Illinois",38.5,28.1,13.7,4.2
14,"d","Indiana",40.1,31.3,35.3,4.3
14,"d","Iowa",22.8,30.7,32.3,23.9
14,"d","Kansas",45.4,40.6,41.4,1.4
14,"d","Kentucky",14.2,14.2,18.1,4.8
14,"d","Louisiana",17.9,19.7,24.5,18.9
14,"d","Maine",-,-,-,-
14,"d","Maryland",14.0,32.4,29.3,1.3
14,"d","Massachusetts",-,-,-,-
14,"d","",,,,
14,"d","Michigan",15.4,24.7,14.5,11.2
14,"d","Minnesota",17.7,14.7,23.1,3.7
14,"d","Mississippi",0.7,0.7,4.1,14.0
14,"d","Missouri",18.8,44.4,15.3,0.1
14,"d","Montana",36.9,30.1,26.6,17.1
14,"d","Nebraska",63.7,72.7,64.9,11.6
14,"d","Nevada",17.1,23.3,36.2,-
14,"d","New Hampshire",4.0,3.8,28.5,1.1
14,"d","New Jersey",2.9,8.3,20.7,0.8
14,"d","New Mexico",13.5,9.2,37.6,0.9
14,"d","",,,,
14,"d","New York",11.5,26.5,19.3,2.0
14,"d","North Carolina",10.7,2.6,9.3,-
14,"d","North Dakota",20.8,30.8,26.6,11.5
14,"d","Ohio",22.6,19.8,44.4,4.4
14,"d","Oklahoma",18.2,24.7,16.7,14.3
14,"d","Oregon",12.9,12.6,60.9,5.9
14,"d","Pennsylvania",17.5,21.2,15.2,7.4
14,"d","Rhode Island",18.5,13.1,18.5,-
14,"d","South Carolina",28.3,26.6,39.0,1.0
14,"d","South Dakota",12.1,18.8,37.7,15.3
14,"d","",,,,
14,"d","Tennessee",25.3,22.0,45.0,7.6
14,"d","Texas",8.1,31.4,29.6,7.2
14,"d","Utah",12.6,21.9,17.6,50.8
14,"d","Vermont",4.5,12.7,4.5,-
14,"d","Virginia",34.3,47.9,37.7,14.8
14,"d","Washington",1.3,2.6,2.2,11.4
14,"d","West Virginia",10.2,33.8,15.2,13.9
14,"d","Wisconsin",19.0,22.4,31.4,6.6
14,"d","Wyoming",42.9,28.3,47.0,8.3
14,"d","",,,,
14,"d","United States 1/",23.9,28.9,32.1,7.0
14,"c",""
14,"f","-  Represents zero."
14,"f","1/  Excludes Alaska."
